Provider Number,Hospital Name,Address 1,City
241364,COMMUNITY MEMORIAL HOSPITAL,512 SKYLINE BOULEVARD,CLOQUET
241365,SWIFT COUNTY BENSON HOSPITAL,1815 WISCONSIN AVENUE,BENSON
241366,MEEKER MEMORIAL HOSPITAL,612 SOUTH SIBLEY AVENUE,LITCHFIELD
241367,FIRSTLIGHT HEALTH SYSTEM,301 SOUTH HIGHWAY 65,MORA
241368,ST MICHAELS HOSPITAL & NURSING HOME,425 NORTH ELM STREET,SAUK CENTRE
241369,UNITED HOSPITAL DISTRICT,"515 SOUTH MOORE STREET, PO BOX 160",BLUE EARTH
241370,ST GABRIELS HOSPITAL,815 SOUTHEAST SECOND STREET,LITTLE FALLS
241371,SANFORD LUVERNE MEDICAL CENTER,1600 NORTH KNISS AVENUE P O BOX 1019,LUVERNE
241372,MADISON HOSPITAL,820 THIRD AVENUE,MADISON
241373,PERHAM MEMORIAL HOSPITAL & HOME,665 THIRD STREET SOUTHWEST,PERHAM
241374,PIPESTONE COUNTY  MEDICAL CENTER ASHTON CC,916 4TH AVENUE SOUTHWEST,PIPESTONE
241375,MINNESOTA VALLEY HEALTH CENTER  INC,621 SOUTH FOURTH STREET,LE SUEUR
241376,GLACIAL RIDGE HOSPITAL,10 4TH AVENUE SOUTHEAST,GLENWOOD
241377,ST FRANCIS HEALTHCARE CAMPUS,2400 ST FRANCIS DRIVE,BRECKENRIDGE
241378,NEW ULM MEDICAL CENTER,1324 FIFTH NORTH STREET,NEW ULM
241379,PRAIRIE RIDGE HOSPITAL AND HEALTH SERVICES,930 FIRST STREET NORTHEAST,ELBOW LAKE
241380,ST JOSEPHS AREA  HEALTH SERVICES,600 PLEASANT AVENUE,PARK RAPIDS
241381,SANFORD MEDICAL CENTER THIEF RIVER FALLS,120 LABREE AVENUE SOUTH,THIEF RIVER FALLS
243302,CHILDREN'S HOSPITALS & CLINICS OF MN,2525 CHICAGO AVENUE SOUTH,MINNEAPOLIS
250001,UNIVERSITY OF MISSISSIPPI MED CENTER,2500 N STATE ST,JACKSON
250002,TISHOMINGO HEALTH SERVICES INC,1777 CURTIS DRIVE,IUKA
250004,NORTH MISSISSIPPI MEDICAL CENTER,830 S GLOSTER,TUPELO
250006,BAPTIST MEMORIAL HOSPITAL UNION COUNTY,200 HWY 30 WEST,NEW ALBANY
250007,BILOXI REGIONAL MEDICAL CENTER,PO BOX 128/150 REYNOIR STREET,BILOXI
250009,MAGNOLIA REGIONAL HEALTH CENTER,611 ALCORN DRIVE,CORINTH
250010,TIPPAH COUNTY HOSPITAL,1005 HWY 15 N,RIPLEY
250012,ALLIANCE HEALTHCARE SYSTEM,1430 HIGHWAY 4 EAST / P O BOX 6000,HOLLY SPRINGS
250015,GRENADA LAKE MEDICAL CENTER,960 AVENT DRIVE,GRENADA
250017,TRACE REGIONAL HOSP AND SWING BED,1004 EAST MADISON STREET,HOUSTON
250018,JASPER GENERAL HOSPITAL,15 SOUTH 6TH STREET,BAY SPRINGS                   
250019,MEMORIAL HOSPITAL AT GULFPORT,4500 13TH ST-P O BOX 1810,GULFPORT
250020,WEBSTER GENERAL HOSPITAL/SWING BED,70 MEDICAL PLAZA,EUPORA
250025,GILMORE MEMORIAL HOSPITAL,1105 EARL FRYE BLVD,AMORY
250027,WINSTON MEDICAL CENTER & SWINGBED,562 EAST MAIN STREET,LOUISVILLE
250031,RIVER REGION HEALTH SYSTEM,2100 HWY 61 N,VICKSBURG
250034,BAPTIST MEMORIAL HOSPITAL NORTH MS,2301 SOUTH LAMAR,OXFORD
250036,GEORGE COUNTY HOSPITAL,859 WINTER STREET,LUCEDALE
250038,MADISON RIVER OAKS MEDICAL CENTER,161 RIVER OAKS DRIVE,CANTON
250040,SINGING RIVER HOSPITAL,2809 DENNY AV,PASCAGOULA
250042,NORTHWEST MISSISSIPPI REGIONAL MEDICAL CENTER,1970 HOSPITAL DRIVE,CLARKSDALE
250043,NESHOBA COUNTY GENERAL HOSPITAL,1001 HOLLAND AVENUE,PHILADELPHIA
250044,BAPTIST MEMORIAL HOSPITAL BOONEVILLE,100 HOSPITAL DRIVE,BOONEVILLE
250048,ST DOMINIC-JACKSON MEMORIAL HOSPITAL,969 LAKELAND DR,JACKSON
250049,BEACHAM MEMORIAL HOSPITAL,205 N CHERRY ST,MAGNOLIA
250050,OCH REGIONAL MEDICAL CENTER,400 HOSPITAL ROAD,STARKVILLE
250051,KILMICHAEL HOSPITAL,301 LAMAR AVENUE,KILMICHAEL
250057,KING'S DAUGHTERS MEDICAL CENTER-BROOKHAVEN,P O BOX 948/427 HIGHWAY 51 NORTH,BROOKHAVEN
250058,SOUTH CENTRAL REG MED CTR,1220 JEFFERSON ST BOX 607,LAUREL
250059,MONTFORT JONES MEMORIAL HOSPITAL,220 HWY 12 WEST,KOSCIUSKO
250060,JEFFERSON COUNTY HOSPITAL,809 S MAIN BOX 577,FAYETTE
250061,YALOBUSHA GENERAL HOSPITAL,630 SOUTH MAIN STREET,WATER VALLEY
250067,CLAY COUNTY MEDICAL CENTER,835 MEDICAL CENTER DR,WEST POINT
250069,RUSH FOUNDATION HOSPITAL,1314 19TH AVE,MERIDIAN
250072,CENTRAL MISSISSIPPI MEDICAL CENTER,1850 CHADWICK DR,JACKSON
250077,WAYNE GENERAL HOSPITAL,950 MATTHEW DR,WAYNESBORO
250078,FORREST GENERAL HOSPITAL,6051 US HIGHWAY 49,HATTIESBURG
250079,SHARKEY ISSAQUENA COMMUNITY HOSPITAL,47 SOUTH 4 ST,ROLLING FORK
250081,ANDERSON REGIONAL MEDICAL CENTER SOUTH CAMPUS,1102 CONSTITUTION AVENUE,MERIDIAN
250082,DELTA REGIONAL MEDICAL CENTER,1400 E UNION ST,GREENVILLE
250084,NATCHEZ REGIONAL MEDICAL CENTER,52 SEARGENT PRENTISS DRIVE,NATCHEZ
250085,MARION GENERAL HOSPITAL,1560 SUMRALL RD,COLUMBIA
250093,BOLIVAR MEDICAL CENTER,HWY 8 E,CLEVELAND
250094,WESLEY MEDICAL CENTER,5001 W HARDY ST,HATTIESBURG
250095,SOUTH SUNFLOWER COUNTY HOSPITAL,121 E BAKER ST,INDIANOLA
250096,CROSSGATES RIVER OAKS HOSPITAL,350 CROSSGATES BLVD,BRANDON
250097,SOUTHWEST MS REGIONAL MEDICAL CENTER,215 MARION AV BOX 1307,MCCOMB
250099,GREENWOOD LEFLORE HOSPITAL,1401 RIVER RD / PO BOX 1410,GREENWOOD
250100,BAPTIST MEM HOSP/GOLDEN TRIANGLE INC,2520 5TH ST N,COLUMBUS
250102,MISSISSIPPI BAPTIST MEDICAL CENTER,1225 N STATE ST,JACKSON
250104,ANDERSON REGIONAL MEDICAL CENTER,2124 14 ST,MERIDIAN
250117,HIGHLAND COMMUNITY  HOSPITAL,801 GOODYEAR BLVD,PICAYUNE
250122,NATCHEZ COMMUNITY HOSPITAL/SWING BED,129 JEFFERSON DAVIS BLVD BOX 1203,NATCHEZ
250123,GARDEN PARK MEDICAL CENTER,15200 COMMUNITY ROAD,GULFPORT
250124,MAGEE GENERAL HOSPITAL,300 3RD AVE SE,MAGEE
250126,NORTH OAK REGIONAL MEDICAL CENTER,401 GETWELL DR,SENATOBIA
250128,TRI LAKES MEDICAL CENTER,303 MEDICAL CENTER DRIVE,BATESVILLE
250134,WHITFIELD MEDICAL SURGICAL HOSPITAL,"3550 HWY 468 W, BLDG 60",WHITFIELD
250136,WOMAN'S HOSPITAL AT RIVER OAKS,1026 NORTH FLOWOOD DRIVE,JACKSON
250138,RIVER OAKS HOSPITAL,1030 RIVER OAKS BLVD,JACKSON
250141,BAPTIST MEMORIAL HOSPITAL DESOTO,7601 SOUTHCREST DR,SOUTHAVEN
250151,ALLIANCE HEALTH CENTER,5000 HIGHWAY 39 NORTH,MERIDIAN
250152,MISSISSIPPI METHODIST REHAB CTR,1350 E WOODROW WILSON DR,JACKSON                       
250162,HANCOCK MEDICAL CENTER,149 DRINKWATER BLVD,BAY SAINT LOUIS
250163,PATIENTS CHOICE MEDICAL CENTER,347 MAGNOLIA DRIVE,RALEIGH
25042F,VA GULF COAST HEALTHCARE SYSTEM,400 VETERANS  AVENUE,BILOXI                        
25043F,G. V. (SONNY) MONTGOMERY VA MEDICAL CENTER (JACKSON),1500 E. WOODROW WILSON DRIVE,JACKSON                       
251300,LACKEY MEMORIAL HOSPITAL,330 N BROAD STREET,FOREST
251302,PIONEER COMMUNITY HOSPITAL OF ABERDEEN,400 S CHESTNUT STREET,ABERDEEN                      
251303,STONE COUNTY HOSPITAL,1434 EAST CENTRAL AVENUE,WIGGINS
251304,TALLAHATCHIE CRITICAL ACCESS HOSPITAL,201 SOUTH MARKET ST / PO BOX 230,CHARLESTON                    
251305,LAWRENCE COUNTY HOSPITAL CAH,1065 EAST BROAD ST,MONTICELLO
251306,PERRY COUNTY GENERAL HOSP,206 BAY ST,RICHTON                       
251308,PONTOTOC HEALTH SERVICE CAH,176 SOUTH MAIN STREET,PONTOTOC
251309,FIELD MEMORIAL COMMUNITY HOSPITAL,270 WEST MAIN STREET P O BOX 639,CENTREVILLE
251311,PATIENT'S CHOICE MEDICAL CENTER OF HUMPHREYS,500 CCC ROAD,BELZONI
251312,TYLER HOLMES MEMORIAL HOSPITAL CAH,409 TYLER HOLMES DRIVE,WINONA
251313,KINGS DAUGHTERS HOSPITAL CAH,823 GRAND AVENUE,YAZOO CITY                    
251314,QUITMAN COUNTY HOSPITAL CAH,340 GETWELL DRIVE,MARKS                         
251315,BAPTIST MEDICAL CENTER-LEAKE,310 ELLIS STREET,CARTHAGE                      
251316,H C WATKINS MEMORIAL HOSPITAL INC,605 SOUTH ARCHUSA AVENUE,QUITMAN
251317,SIMPSON GENERAL HOSPITAL CAH,1842 SIMPSON HIGHWAY 149,MENDENHALL
251318,NORTH SUNFLOWER MEDICAL CENTER CAH,840 NORTH OAK AVENUE/PO BOX 369,RULEVILLE
251319,HOLMES COUNTY HOSPITAL AND CLINICS,239 BOWLING GREEN ROAD,LEXINGTON
251320,"PATIENTS CHOICE MEDICAL CTR OF CLAIBORNE CO, LLC",123 MCCOMB AVENUE,PORT GIBSON
251322,LAIRD HOSPITAL INC,25117 HIGHWAY 15,UNION
251323,SCOTT REGIONAL HOSPITAL CAH,317 HIGHWAY 13 SOUTH,MORTON
251324,WALTHALL COUNTY GENERAL HOSPITAL CAH,100 HOSPITAL DRIVE,TYLERTOWN
251325,COVINGTON COUNTY HOSPITAL CAH,701 SOUTH HOLLY AVENUE,COLLINS
251326,JEFFERSON DAVIS COMMUNITY HOSPITAL CAH,1102 ROSE STREET,PRENTISS
251327,HARDY WILSON MEMORIAL HOSPITAL CAH,233 MAGNOLIA STREET,HAZLEHURST                    
251329,GREENE COUNTY HOSPITAL CAH,1017 JACKSON STREET,LEAKESVILLE                   
251330,FRANKLIN COUNTY MEMORIAL HOSPITAL,HWY 84 BOX 636,MEADVILLE                     
251331,CALHOUN HEALTH SERVICES,140 BURKE-CALHOUN CITY ROAD,CALHOUN CITY
251332,PIONEER HEALTH SERVICES OF NEWTON,"9421 EAST SIDE DRIVE EXTENSION, POB 299",NEWTON
251333,PEARL RIVER COUNTY HOSPITAL,305 WEST MOODY STREET,POPLARVILLE                   
251334,PIONEER COMMUNITY HOSPITAL OF CHOCTAW- CAH,311 WEST CHERRY STREET,ACKERMAN                      
251335,JOHN C STENNIS MEMORIAL HOSPITAL,14365 HIGHWAY 16 WEST,DE KALB                       
260001,MERCY HOSPITAL JOPLIN,2817 ST JOHNS BLVD,JOPLIN
260004,COOPER COUNTY MEMORIAL HOSPITAL,17651 B HWY,BOONVILLE
260005,SSM ST JOSEPH HEALTH CENTER,300 1ST CAPITOL DR,SAINT CHARLES
260006,HEARTLAND REGIONAL MEDICAL CENTER,5325 FARAON STREET,SAINT JOSEPH
260009,BOTHWELL REGIONAL HEALTH CENTER,601 E 14TH ST,SEDALIA
260011,ST MARYS HEALTH CENTER,100 ST MARYS MEDICAL PLAZA,JEFFERSON CITY
260015,TWIN RIVERS REGIONAL MEDICAL CENTER,1301 FIRST ST,KENNETT
260017,PHELPS COUNTY REGIONAL MEDICAL CENTER,1000 W 10TH ST,ROLLA
260020,MERCY HOSPITAL ST LOUIS,615 NEW BALLAS ROAD,SAINT LOUIS
260022,NORTHEAST REGIONAL MEDICAL CENTER,315 S OSTEOPATHY,KIRKSVILLE
260023,JEFFERSON REGIONAL MEDICAL CENTER,HWY 61 SOUTH,CRYSTAL CITY
260024,TEXAS COUNTY MEMORIAL HOSPITAL,1333 SAM HOUSTON BOULEVARD,HOUSTON
260025,HANNIBAL REGIONAL HOSPITAL,6000 HOSPITAL DR,HANNIBAL
260027,RESEARCH MEDICAL CENTER,2316 E MEYER BLVD,KANSAS CITY
260032,BARNES JEWISH HOSPITAL,ONE BARNES-JEWISH HOSPITAL PLAZA,SAINT LOUIS
260034,BATES COUNTY MEMORIAL HOSPITAL,615 W NURSERY ST,BUTLER
260040,COX MEDICAL CENTER,3801 SOUTH NATIONAL AVENUE,SPRINGFIELD
260047,CAPITAL REGION MEDICAL CENTER,1125 MADISON ST,JEFFERSON CITY
260048,TRUMAN MEDICAL CENTER HOSPITAL HILL,2301 HOLMES STREET,KANSAS CITY
26004F,KANSAS CITY VA MEDICAL CENTER,4801 LINWOOD BLVD.,KANSAS CITY                   
260050,ST FRANCIS HOSPITAL,2016 SOUTH MAIN ST,MARYVILLE
260052,MERCY HOSPITAL WASHINGTON,901 EAST 5TH STREET,WASHINGTON
260057,CAMERON REGIONAL MEDICAL CENTER,1600 E EVERGREEN,CAMERON
260059,MERCY HOSPITAL LEBANON,100 HOSPITAL DRIVE,LEBANON
260061,NEVADA REGIONAL MEDICAL CENTER,800 S ASH ST,NEVADA
260062,ST LUKES NORTHLAND HOSPITAL,5830 N W BARRY ROAD,KANSAS CITY
260064,AUDRAIN MEDICAL CENTER,620 E MONROE,MEXICO
260065,MERCY HOSPITAL SPRINGFIELD,1235 E CHEROKEE,SPRINGFIELD
260068,BOONE HOSPITAL CENTER,1600 E BROADWAY,COLUMBIA
260070,PEMISCOT MEMORIAL HOSPITAL,946 EAST REED,HAYTI
260074,MOBERLY REGIONAL MEDICAL CENTER,1515 UNION AVE,MOBERLY
260077,ST ANTHONY'S MEDICAL CENTER,10010 KENNERLY ROAD,SAINT LOUIS
260078,OZARKS MEDICAL CENTER,1100 KENTUCKY AVE,WEST PLAINS
26007F,POPLAR BLUFF VA MEDICAL CENTER,1500 N. WESTWOOD BLVD.,POPLAR BLUFF                  
260080,RIPLEY COUNTY MEMORIAL HOSPITAL,109 PLUM ST,DONIPHAN
260081,SSM ST CLARE HEALTH CENTER,1015 BOWLES,FENTON
260085,ST JOSEPH MEDICAL CENTER,1000 CARONDELET DR,KANSAS CITY
260091,SSM ST MARYS HEALTH CENTER,6420 CLAYTON RD,RICHMOND HEIGHTS
260094,SKAGGS REGIONAL MEDICAL CENTER,PO BOX 650 BUS HWY 65 & SKAGGS RD,BRANSON
260095,"CENTERPOINT MEDICAL CENTER OF INDEPENDENCE, LLC",19600 EAST 39TH STREET,INDEPENDENCE
260096,NORTH KANSAS CITY HOSPITAL,2800 CLAY EDWARDS DRIVE,NORTH KANSAS CITY
260097,WESTERN MISSOURI MEDICAL CENTER,403 BURKARTH ROAD,WARRENSBURG
26009F,ST LOUIS-JOHN COCHRAN VA MEDICAL CENTER,915 NORTH GRAND,ST. LOUIS                     
260102,TRUMAN MEDICAL CENTER LAKEWOOD,7900 LEE'S SUMMIT RD,KANSAS CITY
260104,SSM DEPAUL HEALTH CENTER,12303 DEPAUL DRIVE,BRIDGETON
260105,ST LOUIS UNIVERSITY HOSPITAL,3635 VISTA AVE,SAINT LOUIS
260108,MISSOURI BAPTIST MEDICAL CENTER,3015 N BALLAS RD,TOWN AND COUNTRY
260110,SOUTHEAST MISSOURI HOSPITAL,1701 LACEY ST,CAPE GIRARDEAU
260113,MISSOURI DELTA MEDICAL CENTER,1008 NORTH MAIN ST,SIKESTON
260115,MISSOURI BAPTIST HOSPITAL SULLIVAN,751 SAPPINGTON BRIDGE RD,SULLIVAN
260116,MINERAL AREA REGIONAL MEDICAL CENTER,1212 WEBER RD,FARMINGTON
260119,POPLAR BLUFF REGIONAL MEDICAL CENTER,2620 N WESTWOOD BLVD,POPLAR BLUFF
260137,FREEMAN HEALTH SYSTEM - FREEMAN WEST,1102 WEST 32ND STREET,JOPLIN
260138,ST LUKES HOSPITAL OF KANSAS CITY,4401 WORNALL ROAD,KANSAS CITY
260141,UNIVERSITY OF MISSOURI HEALTH CARE,"ONE HOSPITAL DRIVE, ROOM CE121, DC031,00",COLUMBIA
260142,FITZGIBBON MEMORIAL HOSPITAL,2305 S 65 HIGHWAY,MARSHALL
260147,SAC-OSAGE HOSPITAL,700 GIESLER DRIVE,OSCEOLA
260160,MISSOURI SOUTHERN HEALTHCARE,1200 N ONE MILE RD,DEXTER
260162,BARNES-JEWISH WEST COUNTY HOSPITAL,12634 OLIVE BOULEVARD,CREVE COEUR
260163,PARKLAND HEALTH CENTER,1101 W LIBERTY,FARMINGTON
260175,GOLDEN VALLEY MEMORIAL HOSPITAL,1600 N 2ND ST,CLINTON
260176,DES PERES HOSPITAL,2345 DOUGHERTY FERRY ROAD,SAINT LOUIS
260177,LIBERTY HOSPITAL,2525 GLENN HENDREN DR,LIBERTY
260179,ST LUKES HOSPITAL,232 S WOODS MILL RD,CHESTERFIELD
260180,CHRISTIAN HOSPITAL NORTHEAST,11133 DUNN ROAD,SAINT LOUIS
260183,ST FRANCIS MEDICAL CENTER,211 ST FRANCIS DR,CAPE GIRARDEAU
260186,LAKE REGIONAL HEALTH SYSTEM,54 HOSPITAL DRIVE,OSAGE BEACH
260190,LEE'S SUMMIT MEDICAL CENTER,2100 SE BLUE PARKWAY,LEES SUMMIT
260191,BARNES-JEWISH ST PETERS HOSPITAL,10 HOSPITAL DR,SAINT PETERS
260193,ST MARY'S MEDICAL CENTER,201 NW R D MIZE RD,BLUE SPRINGS
260195,CITIZENS MEMORIAL HOSPITAL,1500 N OAKLAND,BOLIVAR
260200,SSM ST JOSEPH HOSPITAL WEST,100 MEDICAL PLAZA,LAKE SAINT LOUIS
260207,OZARKS COMMUNITY HOSPITAL,2828 NORTH NATIONAL,SPRINGFIELD
260209,CALLAWAY COMMUNITY HOSPITAL,10 SOUTH HOSPITAL DRIVE,FULTON
260210,ST ALEXIUS HOSPITAL,3933 S BROADWAY,SAINT LOUIS
260211,SAINT LUKES CANCER INSTITUTE,4401 WORNALL ROAD,KANSAS CITY
260214,RESEARCH BELTON HOSPITAL,17065 S 71 HIGHWAY,BELTON
260216,SAINT LUKE'S EAST LEE'S SUMMIT HOSPITAL,100 N E SAINT LUKE'S BOULEVARD,LEES SUMMIT
260219,PROGRESS WEST HEALTHCARE CENTER,2 PROGRESS POINT PKWY,O FALLON
26023F,COLUMBIA MO VA MEDICAL CENTER,800 HOSPITAL DR,COLUMBIA                      
261303,COMMUNITY HOSPITAL ASSOCIATION,"26136 US HIGHWAY 59, PO BOX 107",FAIRFAX
261304,ADVANCED HEALTHCARE MEDICAL CENTER,"ROUTE 4, BOX 4269",ELLINGTON
261305,PUTNAM COUNTY MEMORIAL HOSPITAL,"1926 OAK STREET,  PO BOX 389",UNIONVILLE
261306,SULLIVAN COUNTY MEMORIAL HOSPITAL,630 WEST THIRD STREET,MILAN
261307,PERSHING MEMORIAL HOSPITAL,130 EAST LOCKLING,BROOKFIELD
261308,WASHINGTON COUNTY MEMORIAL HOSPITAL,300 HEALTH WAY,POTOSI
261309,WRIGHT MEMORIAL HOSPITAL,191 IOWA BOULEVARD,TRENTON
261310,SCOTLAND COUNTY  HOSPITAL,450 E SIGLER AVENUE,MEMPHIS
261311,PERRY COUNTY MEMORIAL HOSPITAL,434 NORTH WEST STREET,PERRYVILLE
261312,HARRISON COUNTY COMMUNITY HOSPITAL,2600 MILLER STREET,BETHANY
261314,HERMANN AREA DISTRICT HOSPITAL,509 W 18TH ST,HERMANN
261316,MERCY HOSPITAL AURORA,500 PORTER AVENUE,AURORA
261317,MERCY HOSPITAL CASSVILLE,94 MAIN STREET,CASSVILLE
261318,SALEM MEMORIAL DISTRICT HOSPITAL,PO BOX 774,SALEM
261319,LINCOLN COUNTY MEDICAL CENTER,1000 EAST CHERRY STREET,TROY
261320,LAFAYETTE REGIONAL HEALTH CENTER,1500 STATE STREET,LEXINGTON
261321,HEDRICK MEDICAL CENTER,100 CENTRAL STREET,CHILLICOTHE
261324,CASS MEDICAL CENTER,2800 E ROCK HAVEN ROAD,HARRISONVILLE
261325,BARTON COUNTY MEMORIAL HOSPITAL,29 NW 1ST LANE,LAMAR
261326,MERCY MCCUNE BROOKS HOSPITAL,3125 DR RUSSELL SMITH WAY,CARTHAGE
261327,RAY COUNTY MEMORIAL HOSPITAL,904 WOLLARD BOULEVARD,RICHMOND
261328,NORTHWEST MEDICAL CENTER,705 N COLLEGE STREET,ALBANY
261329,COX MONETT HOSPITAL,801 NORTH LINCOLN AVENUE,MONETT
261330,STE GENEVIEVE COUNTY MEMORIAL HOSPITAL,"800 STE GENEVIEVE DRIVE, PO BOX 468",SAINTE GENEVIEVE
261331,FREEMAN NEOSHO HOSPITAL,113 WEST HICKORY STREET,NEOSHO
261332,CARROLL COUNTY MEMORIAL HOSPITAL,1502 NORTH JEFFERSON,CARROLLTON
261333,PIKE COUNTY MEMORIAL HOSPITAL,2305 WEST GEORGIA STREET,LOUISIANA
261335,MERCY ST FRANCIS HOSPITAL,"100 WEST HIGHWAY 60, PO BOX 82",MOUNTAIN VIEW
263302,CHILDRENS MERCY HOSPITAL,2401 GILLHAM ROAD,KANSAS CITY
270003,ST PETER'S HOSPITAL,2475 BROADWAY,HELENA
270004,BILLINGS CLINIC HOSPITAL,2800 10TH AVE N,BILLINGS
270012,BENEFIS HOSPITALS INC,1101 26TH ST S,GREAT FALLS
270014,ST PATRICK HOSPITAL,500 W BROADWAY,MISSOULA
270017,ST JAMES HEALTHCARE,400 S CLARK ST,BUTTE
270023,COMMUNITY MEDICAL CENTER INC,2827 FORT MISSOULA RD,MISSOULA
270032,NORTHERN MONTANA HOSPITAL,30 13TH ST,HAVRE
27003F,VA MONTANA HEALTHCARE SYSTEM,1892 WILLIAMS STREET,FORT HARRISON                 
270049,ST VINCENT HEALTHCARE,1233 N 30TH ST,BILLINGS
270051,KALISPELL REGIONAL MEDICAL CENTER,310 SUNNYVIEW LANE,KALISPELL
270057,BOZEMAN DEACONESS HOSPITAL,915 HIGHLAND BLVD,BOZEMAN
270074,P H S INDIAN HOSPITAL AT BROWNING - BLACKFEET,"760 HOSPITAL CIRCLE, POST OFFICE BOX 760",BROWNING
270086,GREAT FALLS CLINIC MEDICAL CENTER,1411 9TH ST S,GREAT FALLS
270087,HEALTH CENTER NORTHWEST,320 SUNNYVIEW LANE,KALISPELL
271300,POPLAR COMMUNITY HOSPITAL,211 H ST E,POPLAR
271302,DAHL MEMORIAL HEALTHCARE ASSOC,215 SANDY ST,EKALAKA
271304,MISSOURI RIVER MEDICAL CENTER,1501 ST CHARLES ST,FORT BENTON
271305,MCCONE COUNTY HEALTH CENTER,605 SULLIVAN AVE,CIRCLE
271306,MOUNTAINVIEW MEDICAL CENTER,16 W MAIN ST,WHITE SULPHUR SPRING
271307,TETON MEDICAL CENTER,915 4TH ST NW,CHOTEAU
271308,ROOSEVELT MEDICAL CENTER,818 2ND AVE E,CULBERTSON
271309,PRAIRIE COMMUNITY HOSPITAL,312 S ADAMS,TERRY
271310,GARFIELD COUNTY HEALTH CENTER,332 LEAVITT AVE,JORDAN
271311,BIG SANDY MEDICAL CENTER,166 MONTANA AVE E,BIG SANDY
271312,PHILLIPS COUNTY MEDICAL CENTER,311 S 8TH AVE E,MALTA
271313,PIONEER MEDICAL CENTER,301 W 7TH AVE,BIG TIMBER
271316,FRANCES MAHON DEACONESS HOSPITAL,621 3RD ST S,GLASGOW
271317,LIVINGSTON HEALTHCARE,504 S 13TH ST,LIVINGSTON
271318,BARRETT MEMORIAL HOSPITAL,90 HWY 91 S,DILLON
271319,RUBY VALLEY HOSPITAL,220 E CROFOOT,SHERIDAN
271320,ST JOHN'S LUTHERAN HOSPITAL,350 LOUISIANA AVE,LIBBY
271321,WHEATLAND MEMORIAL HOSPITAL,530 3RD ST NW,HARLOWTON                     
271322,SHERIDAN MEMORIAL HOSPTIAL,440 W LAUREL AVE,PLENTYWOOD
271323,CLARK FORK VALLEY HOSPITAL,10 KRUGER RD,PLAINS
271324,PONDERA MEDICAL CENTER,805 SUNSET BLVD,CONRAD
271325,ST LUKE COMMUNITY HOSPITAL,107 6TH AVE SW,RONAN
271326,BEARTOOTH BILLINGS CLINIC,2525 N BROADWAY,RED LODGE
271327,ROSEBUD HEALTH CARE CENTER,383 N 17TH AV,FORSYTH
271328,MARIAS MEDICAL CENTER,640 PARK DR,SHELBY
271330,STILLWATER COMMUNITY HOSPITAL,44 W 4TH AVE N,COLUMBUS
271332,GLENDIVE MEDICAL CENTER,202 PROSPECT DR,GLENDIVE
271334,LIBERTY COUNTY HOSPITAL,315 W MADISON AVE,CHESTER
271335,COMMUNITY HOSPITAL OF ANACONDA,401 W PENNSYLVANIA,ANACONDA
271336,NORTH VALLEY HOSPITAL,1600 HOSPITAL WAY,WHITEFISH
271337,NORTHERN ROCKIES MEDICAL CENTER,802 2ND ST SE,CUT BANK
271338,BIG HORN CO MEMORIAL HOSPITAL,17 N MILES,HARDIN
271339,P H S INDIAN HOSPITAL CROW / NORTHERN CHEYENNE,"1010 SOUTH 7650 EAST, POST OFFICE BOX 9",CROW AGENCY
271340,MARCUS DALY MEMORIAL HOSPITAL - CAH,1200 WESTWOOD DR,HAMILTON
271341,TRINITY HOSPITAL,315 KNAPP ST,WOLF POINT
271342,DANIELS MEMORIAL HOSPITAL,105 5TH AVE E,SCOBEY
271343,PROVIDENCE ST JOSEPH MEDICAL CENTER,6 13TH AVE E,POLSON
271344,SIDNEY HEALTH CENTER,216 14TH AVE SW,SIDNEY
271345,CENTRAL MONTANA MEDICAL CENTER,408 WENDELL AVE,LEWISTOWN
271346,ROUNDUP MEMORIAL HEALTHCARE,1202 3RD ST W,ROUNDUP
271347,HOLY ROSARY HEALTHCARE,2600 WILSON ST,MILES CITY
280003,BRYANLGH MEDICAL CENTER,1600 SOUTH 48TH ST,LINCOLN
280009,GOOD SAMARITAN HOSPITAL,"P O BOX 1990, 10 EAST 31ST ST",KEARNEY
280013,THE NEBRASKA MEDICAL CENTER,987400 NEBRASKA MEDICAL CENTER,OMAHA
280020,SAINT ELIZABETH REGIONAL MEDICAL CENTER,555 SOUTH 70TH ST,LINCOLN
280023,ST FRANCIS MEDICAL CENTER,2620 WEST FAIDLEY AVE,GRAND ISLAND
280030,CREIGHTON UNIVERSITY MEDICAL CENTER - SAINT JOSEPH,601 NORTH 30TH ST,OMAHA
280032,MARY LANNING MEMORIAL HOSPITAL,715 N ST JOSEPH AVE,HASTINGS
280040,THE NEBRASKA METHODIST HOSPITAL,8303 DODGE ST,OMAHA
280060,ALEGENT HEALTH BERGAN MERCY MEDICAL CENTER,7500 MERCY RD,OMAHA
280061,REGIONAL WEST MEDICAL CENTER,4021 AVE B,SCOTTSBLUFF
280065,GREAT PLAINS REGIONAL MEDICAL CENTER,601 WEST LEOTA ST,NORTH PLATTE
28006F,OMAHA VA MEDICAL CENTER (VA NEBRASKA WESTERN IOWA HEALTHCARE SYSTEM),4101 WOOLWORTH AVENUE,OMAHA                         
280077,FREMONT AREA MEDICAL CENTER,450 EAST 23RD ST,FREMONT
280081,ALEGENT HEALTH IMMANUEL MEDICAL CENTER,6901 NORTH 72ND ST,OMAHA
